Date,Open,High,Low,Close,Volume
2021-03-29,100.28,101.62,99.45,101.45,26492000
2021-03-30,101.81,102.29,100.97,101.48,27312000
2021-03-31,101.88,103.46,101.51,102.28,42570000
2021-04-01,103.75,105.91,103.71,105.62,39880000
2021-04-05,106.48,110.54,106.38,110.04,48510000
2021-04-06,109.64,110.49,109.19,109.56,35240000
2021-04-07,109.75,111.31,109.75,111.03,24134000
2021-04-08,112.27,112.66,111.23,111.6,28664000
2021-04-09,111.35,112.77,110.95,112.6,26146000
2021-04-12,111.78,111.92,110.48,111.31,25024000
2021-04-13,111.63,112.25,111.23,111.8,25682000
2021-04-14,112.44,112.44,110.88,111.18,21002000
2021-04-15,112.17,113.86,111.64,113.33,29174000
2021-04-16,113.52,113.77,112.62,113.2,26282000
2021-04-19,112.58,114.26,112.58,113.55,30290000
2021-04-20,113.93,114.01,111.93,113.02,22288000
2021-04-21,112.67,113.07,111.32,112.98,23204000
2021-04-22,112.84,113.51,111.1,111.7,24146000
2021-04-23,112.42,114.36,112.14,114.05,29066000
2021-04-26,114.28,115.27,113.92,114.55,32038000
2021-04-27,114.93,114.97,113.37,113.61,44386000
2021-04-28,118.64,120.57,116.7,116.99,81106000
2021-04-29,118.48,119.22,117.72,118.66,41234000
2021-04-30,117.43,118.12,116.37,116.71,44856000
2021-05-03,117.28,118.1,115.82,116.19,28242000
2021-05-04,114.73,115.3,111.91,114.4,44818000
2021-05-05,115.48,115.79,114.47,114.79,26636000
2021-05-06,114.37,115.91,113.71,115.91,25190000
2021-05-07,117.23,117.59,116.35,116.63,28898000
2021-05-10,115.45,115.59,113.29,113.65,30914000
2021-05-11,111.23,113.08,110.78,112.57,34186000
2021-05-12,110.4,111.48,108.78,109.11,46376000
2021-05-13,110.39,111.05,109.43,110.54,33204000
2021-05-14,112.0,113.3,111.58,112.99,31996000
2021-05-17,112.25,113.55,111.85,113.51,21598000
2021-05-18,114.17,114.44,112.18,112.2,22204000
2021-05-19,110.51,112.82,110.36,112.64,23684000
2021-05-20,113.61,114.65,113.24,114.4,32352000
2021-05-21,114.92,114.99,113.53,113.77,40632000
2021-05-24,114.8,117.31,114.65,117.08,31832000
2021-05-25,117.63,118.22,116.78,117.18,22440000
2021-05-26,117.36,118.47,117.35,118.04,21572000
2021-05-27,118.47,118.47,116.85,117.17,35224000
2021-05-28,117.75,117.83,116.68,116.88,21482000
2021-06-01,117.75,118.31,116.75,118.08,23354000
2021-06-02,118.48,118.7,116.65,117.56,21158000
2021-06-03,116.33,116.88,115.52,116.42,18696000
2021-06-04,117.49,118.97,117.15,118.7,24458000
2021-06-07,118.49,119.24,118.07,119.13,24120000
2021-06-08,119.61,119.98,118.76,118.94,24240000
2021-06-09,119.58,119.66,118.86,119.41,17942000
2021-06-10,119.36,120.8,119.2,120.76,25904000
2021-06-11,121.0,121.09,119.96,120.51,21958000
2021-06-14,120.62,121.44,119.91,121.44,22098000
2021-06-15,121.45,121.77,120.06,120.42,21562000
2021-06-16,120.58,120.89,118.49,119.78,26472000
2021-06-17,119.71,121.52,119.51,120.75,25842000
2021-06-18,120.37,120.61,119.03,119.13,46116000
2021-06-21,119.51,121.0,118.92,120.81,27414000
2021-06-22,120.75,121.4,120.07,121.33,22390000
2021-06-23,121.09,122.09,120.84,121.13,19148000
2021-06-24,121.69,122.05,121.3,121.5,21362000
2021-06-25,121.0,121.63,120.57,121.5,34594000
2021-06-28,121.67,121.78,120.41,121.53,28526000
2021-06-29,121.66,122.01,120.69,121.27,23108000
2021-06-30,120.99,121.25,120.36,121.09,24474000
2021-07-01,120.73,121.58,120.54,121.44,18110000
2021-07-02,122.14,124.38,122.05,124.23,25982000
2021-07-06,124.62,125.39,123.56,125.16,26404000
2021-07-07,126.12,126.24,125.12,125.44,24060000
2021-07-08,123.01,124.57,123.01,124.02,23790000
2021-07-09,124.0,124.7,123.53,124.49,18632000
2021-07-12,125.14,126.03,124.58,125.93,17668000
2021-07-13,126.0,127.01,125.64,126.3,19240000
2021-07-14,126.91,128.27,126.87,127.19,23742000
2021-07-15,127.59,127.65,125.49,125.96,24218000
2021-07-16,126.62,126.76,125.12,125.93,20424000
2021-07-19,125.06,125.17,122.49,123.56,27968000
2021-07-20,124.5,126.0,123.33,125.17,26312000
2021-07-21,125.1,126.55,124.99,126.5,20746000
2021-07-22,126.8,127.43,126.45,127.37,14302000
2021-07-23,129.36,132.31,128.74,131.92,41506000
2021-07-26,132.24,133.14,131.22,132.94,30572000
2021-07-27,133.15,133.3,129.04,130.82,54710000
2021-07-28,135.19,137.16,134.17,134.98,95130000
2021-07-29,135.03,135.54,134.43,134.66,31716000
2021-07-30,133.93,134.2,133.15,133.62,25576000
2021-08-02,134.01,134.23,132.7,133.75,21634000
2021-08-03,134.03,134.62,132.23,134.52,20762000
2021-08-04,134.24,134.54,133.38,134.02,19676000
2021-08-05,134.57,135.23,133.74,135.13,17870000
2021-08-06,134.93,135.35,134.1,134.63,20488000
2021-08-09,134.83,136.06,134.23,135.79,17760000
2021-08-10,136.22,136.64,135.25,135.69,19414000
2021-08-11,136.06,136.55,135.15,135.16,15352000
2021-08-12,134.86,136.17,134.32,136.07,16506000
2021-08-13,136.12,136.73,135.91,136.6,15948000
