Date,Open,High,Low,Close,Volume
2021-03-30,910.49,929.04,903.03,920.15,20441701
2021-03-31,915.02,929.49,906.41,908.27,16250796
2021-04-01,915.02,920.47,908.29,916.77,11723312
2021-04-05,918.18,918.2,889.68,903.51,14875099
2021-04-06,908.68,909.11,892.81,899.74,14009194
2021-04-07,906.86,928.13,903.82,908.15,24266353
2021-04-08,911.85,916.84,903.69,909.29,15369188
2021-04-09,906.16,909.74,897.79,898.72,14037885
2021-04-12,888.27,889.36,861.63,866.58,20901482
2021-04-13,872.4,879.93,869.61,875.94,19411189
2021-04-15,873.44,889.18,867.41,881.61,19723716
2021-04-16,878.12,884.15,873.51,876.07,15656948
2021-04-19,863.33,868.96,856.99,862.29,18478808
2021-04-20,866.28,870.13,857.19,862.04,17203668
2021-04-22,858.01,868.07,850.95,864.42,14490954
2021-04-23,864.24,870.09,859.41,863.49,11828857
2021-04-26,870.59,889.63,866.73,878.68,20846778
2021-04-27,879.66,905.59,878.86,901.72,19992524
2021-04-28,905.89,910.49,897.86,905.64,17122437
2021-04-29,917.25,927.04,910.17,917.77,17412606
2021-04-30,910.72,923.19,901.22,904.37,19828769
2021-05-03,891.45,897.34,881.06,888.29,23640186
2021-05-04,884.19,892.26,866.51,869.05,21849830
2021-05-05,872.11,878.98,865.17,870.63,12393609
2021-05-06,871.43,877.39,864.51,875.58,14624666
2021-05-07,878.64,886.75,873.31,875.92,12288548
2021-05-10,879.2,882.74,871.02,873.4,13941237
2021-05-11,868.32,879.0,866.05,876.55,13478264
2021-05-12,875.17,876.44,864.69,867.48,13177961
2021-05-14,874.24,880.56,864.24,878.43,13291616
2021-05-17,878.43,890.29,875.3,888.88,11873078
2021-05-18,898.25,908.04,894.39,901.4,12064918
2021-05-19,897.79,914.32,894.17,905.52,16317002
2021-05-20,905.91,911.8,898.25,900.24,11422532
2021-05-21,903.24,911.22,900.51,908.02,10785605
2021-05-24,910.49,911.31,898.7,900.36,8551760
2021-05-25,905.23,905.5,888.73,890.15,14780102
2021-05-26,895.53,897.57,891.13,893.28,7480204
2021-05-27,893.4,903.69,889.75,896.03,26819294
2021-05-28,902.33,954.47,902.33,949.85,56469931
2021-05-31,953.11,993.79,945.43,979.55,59124142
2021-06-01,982.13,998.46,973.29,983.45,28013832
2021-06-02,978.05,1001.86,978.05,998.12,24630162
2021-06-03,1007.07,1020.22,995.78,1001.92,23974257
2021-06-04,1004.26,1005.01,990.41,993.24,14468646
2021-06-07,998.46,1016.59,990.75,1009.97,16336573
2021-06-08,1009.61,1009.86,996.71,1004.17,9674735
2021-06-09,1006.16,1007.07,978.48,986.21,11409161
2021-06-10,994.56,1011.15,987.37,989.84,14155653
2021-06-11,993.25,1013.77,991.97,1007.01,13762778
2021-06-14,1007.85,1027.53,998.77,1021.46,20332436
2021-06-15,1028.78,1035.11,1019.36,1023.78,15174215
2021-06-16,1021.46,1022.43,1003.69,1006.3,10797349
2021-06-17,1001.03,1016.95,991.88,1008.15,15745975
2021-06-18,1012.63,1016.95,993.91,1012.7,29369026
