Date,Open,High,Low,Close,Volume
2021-03-30,2710.19,2802.89,2690.77,2776.61,4694008
2021-03-31,2773.49,2817.44,2753.27,2793.57,3530069
2021-04-01,2805.22,2826.23,2764.7,2782.28,4285076
2021-04-05,2787.55,2868.43,2769.97,2847.24,5317862
2021-04-06,2878.98,2878.98,2839.42,2869.92,2291562
2021-04-07,2864.91,2881.22,2843.64,2875.81,2491268
2021-04-08,2874.58,2931.72,2871.11,2916.21,2578118
2021-04-09,2948.42,2948.73,2907.99,2920.51,2911129
2021-04-12,2920.51,2934.45,2824.65,2853.97,3791828
2021-04-13,2825.35,2825.35,2701.45,2728.7,8654596
2021-04-15,2778.15,2845.79,2714.11,2829.7,6062760
2021-04-16,2838.54,2854.36,2797.75,2808.78,3224657
2021-04-19,2785.79,2803.38,2755.99,2779.47,2679106
2021-04-20,2835.02,2835.33,2748.3,2764.3,3141893
2021-04-22,2767.33,2767.33,2729.75,2741.67,1988980
2021-04-23,2729.53,2741.84,2717.27,2733.49,1615309
2021-04-26,2726.94,2771.73,2714.63,2725.84,2490260
2021-04-27,2730.41,2756.87,2727.78,2753.27,1471417
2021-04-28,2769.05,2769.97,2735.69,2746.32,1639037
2021-04-29,2765.22,2775.55,2729.97,2738.54,1621395
2021-04-30,2724.26,2753.31,2654.81,2668.57,3072305
2021-05-03,2659.12,2685.58,2640.75,2669.76,1545831
2021-05-04,2692.44,2716.35,2668.0,2680.96,1990777
2021-05-05,2698.77,2724.61,2683.29,2721.36,1939289
2021-05-06,2729.97,2755.03,2702.28,2735.2,1791671
2021-05-07,2754.15,2777.75,2735.51,2754.06,1912540
2021-05-10,2765.53,2781.58,2747.12,2765.14,2137153
2021-05-11,2747.12,2749.84,2717.36,2745.01,2415625
2021-05-12,2742.72,2742.72,2699.29,2714.24,1978558
2021-05-14,2723.82,2723.82,2672.39,2682.5,2043935
2021-05-17,2685.58,2703.34,2668.88,2698.55,2890462
2021-05-18,2725.14,2746.24,2705.8,2715.29,2098538
2021-05-19,2711.07,2740.96,2696.22,2709.32,1986041
2021-05-20,2696.22,2715.29,2683.03,2689.98,2329027
2021-05-21,2690.85,2714.77,2685.67,2708.0,1685566
2021-05-24,2708.88,2729.53,2700.52,2708.88,1652260
2021-05-25,2731.4,2763.42,2722.66,2750.84,1841613
2021-05-26,2756.14,2795.89,2741.83,2790.15,1923753
2021-05-27,2793.19,2842.49,2793.06,2809.14,5959785
2021-05-28,2817.53,2825.04,2769.96,2776.98,1763701
2021-05-31,2782.64,2800.61,2763.73,2790.72,1652799
2021-06-01,2799.07,2800.26,2766.74,2785.29,1377441
2021-06-02,2783.39,2790.99,2751.72,2764.48,2240078
2021-06-03,2786.66,2786.66,2758.48,2774.91,1281706
2021-06-04,2763.2,2788.69,2760.55,2777.12,1836060
2021-06-07,2778.22,2818.37,2768.15,2811.97,2559821
2021-06-08,2825.04,2854.19,2815.5,2826.94,2574057
2021-06-09,2828.57,2844.47,2814.62,2827.03,1710925
2021-06-10,2835.64,2848.01,2820.62,2841.65,1874324
2021-06-11,2837.01,2923.09,2836.52,2892.0,3452954
2021-06-14,2896.59,2922.83,2888.95,2894.25,1847360
2021-06-15,2913.38,2913.38,2872.34,2882.24,1304985
2021-06-16,2881.66,2910.46,2873.63,2892.49,1635552
2021-06-17,2884.67,2946.99,2879.81,2930.82,2273413
2021-06-18,2960.11,2966.38,2893.06,2912.76,3380431
2021-06-21,2884.23,2902.78,2872.48,2891.38,1130569
2021-06-22,2918.68,2939.04,2901.89,2916.2,1708688
2021-06-23,2940.76,2940.76,2876.63,2881.05,1467104
2021-06-24,2901.01,2988.46,2896.15,2980.16,4155204
2021-06-25,2981.62,3003.17,2959.31,2986.52,2722861
2021-06-28,2995.97,2995.97,2944.3,2947.61,1355238
2021-06-29,2952.25,2973.71,2938.55,2951.23,1497322
2021-06-30,2955.78,2987.58,2949.15,2955.56,1693146
2021-07-01,2966.38,2969.91,2943.72,2951.8,990310
2021-07-02,2942.53,2950.21,2910.9,2937.63,1682274
2021-07-05,2952.25,2980.51,2916.91,2933.69,1972858
2021-07-06,2926.63,2939.88,2876.36,2881.84,2159420
2021-07-07,2893.06,2899.86,2863.55,2893.02,2640710
2021-07-08,2913.38,2913.38,2854.99,2878.48,2485811
2021-07-09,2870.98,2899.24,2827.69,2834.01,6365067
2021-07-12,2857.72,2858.61,2816.51,2820.71,1892226
2021-07-13,2839.17,2839.17,2804.72,2815.81,1809339
2021-07-14,2815.32,2846.24,2813.56,2839.66,2044279
2021-07-15,2857.41,2861.17,2827.66,2835.59,2232968
2021-07-16,2844.49,2850.55,2825.89,2828.37,1256526
2021-07-19,2815.27,2832.8,2811.73,2819.34,1597058
2021-07-20,2819.34,2846.25,2794.15,2838.11,1811945
2021-07-22,2824.12,2855.06,2824.12,2847.45,2859334
2021-07-23,2859.53,2869.76,2838.86,2844.35,1776193
2021-07-26,2832.98,2854.44,2824.87,2830.81,1259611
2021-07-27,2832.98,2841.83,2798.58,2817.88,1121367
2021-07-28,2822.35,2836.92,2773.13,2831.03,1660654
2021-07-29,2833.2,2855.51,2824.39,2829.26,1731997
2021-07-30,2849.8,2853.78,2799.64,2804.16,2999943
2021-08-02,2815.27,2855.02,2803.76,2850.15,2608669
2021-08-03,2858.65,2912.65,2849.75,2908.14,3804735
2021-08-04,2921.51,2926.11,2887.16,2898.44,2929598
2021-08-05,2899.37,2934.79,2888.31,2907.3,2534521
2021-08-06,2897.2,2942.75,2890.52,2930.18,2292362
2021-08-09,2942.66,2954.26,2930.36,2941.6,1510489
2021-08-10,2935.32,2965.68,2935.32,2951.52,2040777
2021-08-11,2965.77,2974.62,2945.5,2960.64,1929707
2021-08-12,2944.52,2981.71,2944.52,2967.32,1310205
2021-08-13,2975.29,3080.86,2972.41,3066.16,4363584
2021-08-16,3063.15,3093.57,3042.35,3074.62,2083489
2021-08-17,3082.72,3152.39,3065.81,3145.53,4336019
2021-08-18,3163.95,3182.67,3130.97,3152.17,2631309
2021-08-20,3103.88,3164.96,3098.57,3151.24,2836148
2021-08-23,3169.39,3251.72,3153.37,3220.21,3744176
2021-08-24,3237.56,3246.72,3182.14,3198.78,2511141
2021-08-25,3195.95,3273.64,3193.34,3239.33,2123263
2021-08-26,3240.22,3264.65,3229.5,3250.71,1902533
2021-08-27,3245.53,3301.74,3232.34,3293.47,3944728
2021-08-30,3288.91,3311.35,3264.65,3276.78,2033114
2021-08-31,3283.95,3367.79,3278.68,3352.16,3207480
2021-09-01,3360.62,3378.94,3281.83,3288.86,2643336
2021-09-02,3305.73,3416.52,3295.1,3396.69,3403717
2021-09-03,3386.29,3414.53,3368.19,3401.38,1746812
2021-09-06,3408.16,3432.86,3376.55,3410.19,1723693
2021-09-07,3420.82,3426.09,3371.46,3378.23,1585039
2021-09-08,3373.01,3377.44,3325.2,3341.27,4147175
2021-09-09,3355.04,3371.86,3333.17,3356.55,1441148
2021-09-13,3334.94,3410.55,3334.94,3404.31,1691473
2021-09-14,3408.38,3449.59,3386.29,3440.21,1991188
2021-09-15,3436.84,3523.51,3422.59,3500.98,2461369
2021-09-16,3479.25,3525.06,3445.7,3455.61,2946666
2021-09-17,3470.4,3492.53,3368.59,3388.81,6477148
2021-09-20,3372.13,3427.01,3371.11,3384.96,2002008
2021-09-21,3415.51,3427.5,3383.33,3419.89,1568129
2021-09-22,3419.49,3449.9,3410.59,3419.18,1744067
2021-09-23,3426.13,3434.1,3395.14,3425.47,2003869
2021-09-24,3443.84,3492.0,3412.85,3427.28,2320754
2021-09-27,3452.69,3456.23,3366.73,3396.87,1673362
2021-09-28,3408.42,3408.42,3321.0,3345.7,2253075
2021-09-29,3328.57,3369.47,3295.24,3356.99,2489161
2021-09-30,3368.58,3368.58,3319.98,3342.51,2252412
2021-10-01,3348.0,3373.01,3297.76,3302.36,1578374
